Velocity (km/s),Altitude (km)
7.349,90.01
7.349,89.949
7.348,89.888
7.348,89.827
7.347,89.765
7.347,89.704
7.346,89.642
7.346,89.579
7.345,89.517
7.345,89.454
7.344,89.392
7.344,89.329
7.343,89.265
7.343,89.202
7.342,89.138
7.342,89.074
7.341,89.01
7.341,88.946
7.34,88.881
7.34,88.816
7.339,88.751
7.339,88.686
7.338,88.62
7.337,88.554
7.337,88.488
7.336,88.422
7.336,88.356
7.335,88.289
7.334,88.222
7.334,88.155
7.333,88.087
7.333,88.019
7.332,87.951
7.331,87.883
7.331,87.815
7.33,87.746
7.329,87.677
7.329,87.608
7.328,87.538
7.328,87.468
7.327,87.398
7.326,87.328
7.325,87.257
7.325,87.186
7.324,87.115
7.323,87.044
7.323,86.972
7.322,86.9
7.321,86.828
7.321,86.756
7.32,86.683
7.319,86.61
7.318,86.536
7.318,86.463
7.317,86.389
7.316,86.315
7.315,86.24
7.314,86.165
7.314,86.09
7.313,86.015
7.312,85.939
7.311,85.863
7.31,85.787
7.309,85.711
7.309,85.634
7.308,85.556
7.307,85.479
7.306,85.401
7.305,85.323
7.304,85.245
7.303,85.166
7.302,85.087
7.301,85.007
7.3,84.928
7.3,84.847
7.299,84.767
7.298,84.686
7.297,84.605
7.296,84.524
7.295,84.442
7.294,84.36
7.293,84.278
7.291,84.195
7.29,84.112
7.289,84.028
7.288,83.945
7.287,83.86
7.286,83.776
7.285,83.691
7.284,83.606
7.283,83.52
7.282,83.434
7.28,83.348
7.279,83.261
7.278,83.174
7.277,83.086
7.275,82.998
7.274,82.91
7.273,82.822
7.272,82.733
7.27,82.643
7.269,82.553
7.268,82.463
7.266,82.372
7.265,82.281
7.264,82.19
7.262,82.098
7.261,82.006
7.259,81.913
7.258,81.82
7.256,81.726
7.255,81.632
7.253,81.538
7.252,81.443
7.25,81.348
7.249,81.252
7.247,81.156
7.245,81.059
7.244,80.962
7.242,80.865
7.24,80.767
7.238,80.668
7.237,80.57
7.235,80.47
7.233,80.37
7.231,80.27
7.229,80.169
7.227,80.068
7.225,79.966
7.223,79.864
7.221,79.761
7.219,79.658
7.217,79.554
7.215,79.449
7.213,79.345
7.211,79.239
7.208,79.133
7.206,79.027
7.204,78.92
7.202,78.812
7.199,78.704
7.197,78.596
7.194,78.487
7.192,78.377
7.189,78.267
7.187,78.156
7.184,78.044
7.181,77.932
7.179,77.82
7.176,77.706
7.173,77.593
7.17,77.478
7.167,77.363
7.164,77.247
7.161,77.131
7.158,77.014
7.155,76.897
7.152,76.779
7.149,76.66
7.145,76.54
7.142,76.42
7.139,76.299
7.135,76.178
7.131,76.056
7.128,75.933
7.124,75.809
7.12,75.685
7.117,75.56
7.113,75.434
7.109,75.308
7.105,75.181
7.1,75.053
7.096,74.924
7.092,74.795
7.088,74.665
7.083,74.534
7.079,74.402
7.074,74.27
7.069,74.136
7.064,74.002
7.059,73.867
7.054,73.731
7.049,73.595
7.044,73.457
7.039,73.319
7.033,73.18
7.028,73.04
7.022,72.899
7.016,72.757
7.01,72.614
7.004,72.471
6.998,72.326
6.992,72.181
6.986,72.034
6.979,71.887
6.972,71.738
6.966,71.589
6.959,71.439
6.952,71.287
6.944,71.135
6.937,70.981
6.929,70.827
6.922,70.671
6.914,70.515
6.906,70.357
6.898,70.198
6.889,70.039
6.881,69.877
6.872,69.715
6.863,69.552
6.854,69.388
6.845,69.222
