Material,Object,Altitude (km),Mass (kg)
drama-AA7075,SAsupp1,87.561,1.7
drama-AA7075,SAsupp1,87.498,1.7
drama-AA7075,SAsupp1,87.436,1.7
drama-AA7075,SAsupp1,87.373,1.7
drama-AA7075,SAsupp1,87.309,1.7
drama-AA7075,SAsupp1,87.246,1.7
drama-AA7075,SAsupp1,87.182,1.7
drama-AA7075,SAsupp1,87.119,1.7
drama-AA7075,SAsupp1,87.055,1.7
drama-AA7075,SAsupp1,86.99,1.7
drama-AA7075,SAsupp1,86.926,1.7
drama-AA7075,SAsupp1,86.861,1.7
drama-AA7075,SAsupp1,86.796,1.7
drama-AA7075,SAsupp1,86.731,1.7
drama-AA7075,SAsupp1,86.666,1.7
drama-AA7075,SAsupp1,86.6,1.7
drama-AA7075,SAsupp1,86.534,1.7
drama-AA7075,SAsupp1,86.468,1.7
drama-AA7075,SAsupp1,86.401,1.7
drama-AA7075,SAsupp1,86.334,1.7
drama-AA7075,SAsupp1,86.267,1.7
drama-AA7075,SAsupp1,86.2,1.7
drama-AA7075,SAsupp1,86.132,1.7
drama-AA7075,SAsupp1,86.064,1.7
drama-AA7075,SAsupp1,85.995,1.7
drama-AA7075,SAsupp1,85.926,1.7
drama-AA7075,SAsupp1,85.857,1.7
drama-AA7075,SAsupp1,85.788,1.7
drama-AA7075,SAsupp1,85.718,1.7
drama-AA7075,SAsupp1,85.648,1.7
drama-AA7075,SAsupp1,85.577,1.7
drama-AA7075,SAsupp1,85.506,1.7
drama-AA7075,SAsupp1,85.434,1.7
drama-AA7075,SAsupp1,85.363,1.7
drama-AA7075,SAsupp1,85.29,1.7
drama-AA7075,SAsupp1,85.218,1.7
drama-AA7075,SAsupp1,85.144,1.7
drama-AA7075,SAsupp1,85.071,1.7
drama-AA7075,SAsupp1,84.997,1.7
drama-AA7075,SAsupp1,84.922,1.7
drama-AA7075,SAsupp1,84.847,1.7
drama-AA7075,SAsupp1,84.772,1.7
drama-AA7075,SAsupp1,84.696,1.7
drama-AA7075,SAsupp1,84.619,1.7
drama-AA7075,SAsupp1,84.542,1.7
drama-AA7075,SAsupp1,84.465,1.7
drama-AA7075,SAsupp1,84.386,1.7
drama-AA7075,SAsupp1,84.308,1.68
drama-AA7075,SAsupp1,84.229,1.626
drama-AA7075,SAsupp1,84.149,1.572
