Temps (s),Altitude (km)
945.55,108.636
946.55,108.617
947.55,108.598
948.55,108.58
949.55,108.561
950.55,108.542
951.55,108.524
952.55,108.505
953.55,108.486
954.55,108.467
955.55,108.448
956.55,108.43
957.55,108.411
958.55,108.392
959.55,108.373
960.55,108.354
961.55,108.335
962.55,108.316
963.55,108.297
964.55,108.278
965.55,108.259
966.55,108.24
967.55,108.221
968.55,108.202
969.55,108.183
970.55,108.163
971.55,108.144
972.55,108.125
973.55,108.106
974.55,108.087
975.55,108.067
976.55,108.048
977.55,108.029
978.55,108.009
979.55,107.99
980.55,107.97
981.55,107.951
982.55,107.932
983.55,107.912
984.55,107.893
985.55,107.873
986.55,107.854
987.55,107.834
988.55,107.814
989.55,107.795
990.55,107.775
991.55,107.755
992.55,107.736
993.55,107.716
994.55,107.696
995.55,107.676
996.55,107.657
997.55,107.637
998.55,107.617
999.55,107.597
1000.55,107.577
1001.55,107.557
1002.55,107.537
1003.55,107.517
1004.55,107.497
1005.55,107.477
1006.55,107.457
1007.55,107.437
1008.55,107.417
1009.55,107.397
1010.55,107.377
1011.55,107.357
1012.55,107.336
1013.55,107.316
1014.55,107.296
1015.55,107.276
1016.55,107.255
1017.55,107.235
1018.55,107.215
1019.55,107.194
1020.55,107.174
1021.55,107.153
1022.55,107.133
1023.55,107.112
1024.55,107.092
1025.55,107.071
1026.55,107.051
1027.55,107.03
1028.55,107.009
1029.55,106.989
1030.55,106.968
1031.55,106.947
1032.55,106.926
1033.55,106.906
1034.55,106.885
1035.55,106.864
1036.55,106.843
1037.55,106.822
1038.55,106.801
1039.55,106.78
1040.55,106.759
1041.55,106.738
1042.55,106.717
1043.55,106.696
1044.55,106.675
1045.55,106.654
1046.55,106.633
1047.55,106.612
1048.55,106.59
1049.55,106.569
1050.55,106.548
1051.55,106.527
1052.55,106.505
1053.55,106.484
1054.55,106.462
1055.55,106.441
1056.55,106.42
1057.55,106.398
1058.55,106.377
1059.55,106.355
1060.55,106.333
1061.55,106.312
1062.55,106.29
1063.55,106.269
1064.55,106.247
1065.55,106.225
1066.55,106.203
1067.55,106.181
1068.55,106.16
1069.55,106.138
1070.55,106.116
1071.55,106.094
1072.55,106.072
1073.55,106.05
1074.55,106.028
1075.55,106.006
1076.55,105.984
1077.55,105.962
1078.55,105.94
1079.55,105.917
1080.55,105.895
1081.55,105.873
1082.55,105.851
1083.55,105.828
1084.55,105.806
1085.55,105.784
1086.55,105.761
1087.55,105.739
1088.55,105.716
1089.55,105.694
1090.55,105.671
1091.55,105.649
1092.55,105.626
1093.55,105.603
1094.55,105.581
1095.55,105.558
1096.55,105.535
1097.55,105.512
1098.55,105.49
1099.55,105.467
1100.55,105.444
1101.55,105.421
1102.55,105.398
1103.55,105.375
1104.55,105.352
1105.55,105.329
1106.55,105.306
1107.55,105.283
1108.55,105.26
1109.55,105.236
1110.55,105.213
1111.55,105.19
1112.55,105.167
1113.55,105.143
1114.55,105.12
1115.55,105.096
1116.55,105.073
1117.55,105.049
1118.55,105.026
1119.55,105.002
1120.55,104.979
1121.55,104.955
1122.55,104.931
1123.55,104.908
1124.55,104.884
1125.55,104.86
1126.55,104.836
1127.55,104.812
1128.55,104.789
1129.55,104.765
1130.55,104.741
1131.55,104.717
1132.55,104.693
1133.55,104.668
1134.55,104.644
1135.55,104.62
1136.55,104.596
1137.55,104.572
1138.55,104.547
1139.55,104.523
1140.55,104.499
1141.55,104.474
1142.55,104.45
1143.55,104.425
1144.55,104.401
1145.55,104.376
1146.55,104.352
1147.55,104.327
1148.55,104.302
1149.55,104.278
1150.55,104.253
1151.55,104.228
1152.55,104.203
1153.55,104.178
1154.55,104.153
1155.55,104.128
1156.55,104.103
1157.55,104.078
1158.55,104.053
1159.55,104.028
1160.55,104.003
1161.55,103.978
1162.55,103.952
1163.55,103.927
1164.55,103.902
1165.55,103.876
1166.55,103.851
1167.55,103.825
1168.55,103.8
1169.55,103.774
1170.55,103.749
1171.55,103.723
1172.55,103.697
1173.55,103.672
1174.55,103.646
1175.55,103.62
1176.55,103.594
1177.55,103.568
